CowSelecs,GeneralValueReg,ebv_milkReg,evb_fatReg,ebv_proteinReg,ebv_insemenationReg,ebv_serviceReg,ebv_somaticNucReg,ebv_productiveLongLivityReg,ebv_mastitReg,ebv_proteinPercentsReg,ebv_fatPercentsReg,ebv_milkReg_rel,ebv_fatReg_rel,ebv_proteinReg_rel,ebv_insemenationReg_rel,ebv_serviceReg_rel,ebv_somaticNucReg_rel,ebv_productiveLongLivityReg_rel,ebv_mastitReg_rel,ebv_proteinPercentsReg_rel,ebv_fatPercentsReg_rel,GeneralValueHoz,ebv_milkHoz,evb_fatHoz,ebv_proteinHoz,ebv_insemenationHoz,ebv_serviceHoz,GeneralValueReg_rel
8352300205530,286.216739055874,2392.8,65.171,76.138,0.42579,1.3764,53.18957611,-0.6196294,0.58707714,-0.0013188,-0.24198,51.55800000000001,49.746,51.289,33.565,29.444,53.95,71.92,35.14,34.698,48.993,,,,,,,
8352300208443,286.037075599395,2131.8,59.118,68.081,0.14917,-8.4101,31.474454,-0.1848922,0.57418132,-0.0030421,-0.2078,32.7,31.958,32.578,21.152,16.067,53.65,70.5,34.67,22.331,31.602000000000004,,,,,,,
8352063101037,285.47835411652,2060.0,94.632,62.42,0.78064,7.8547,77.95277371,-0.02450948,0.64330253,-0.021254,0.16882,65.558,63.255,65.191,41.001,36.16,54.84,72.57000000000001,34.03,42.582,62.203,,,,,,,
8352300205427,285.086220193143,2387.4,63.771,74.184,0.31445,-0.53574,52.97590213,-0.55180943,0.5870761,-0.0041911,-0.25383,64.655,62.229,64.27000000000001,38.231,32.594,53.97,72.41,35.3,39.999,61.119,,,,,,,
8352300208654,284.951275052004,2461.3,69.444,80.337,0.041246,8.1611,31.21681202,-0.44078477,0.5666198,0.018022,-0.1759,67.411,64.672,66.959,32.842,20.996,53.63,68.21000000000001,34.58,35.625,63.339,,,,,,,
8352060110698,284.357708344501,2062.0,86.088,71.665,0.46633,10.906,11.65774099,0.23392738,0.70642292,0.021226,0.14754,67.071,64.45100000000001,66.635,38.043,30.781,53.44,72.34,34.52,40.075,63.205,,,,,,,
6353169249251,284.096187132983,2300.6,61.093,71.036,0.25947,-4.2846,32.07794277,-0.3932506,0.56527662,-0.012477,-0.27588,31.421,30.985000000000003,31.357000000000003,26.917,25.473000000000003,53.63,68.85,34.59,27.265,30.816,,,,,,,
8352300205262,283.601166059211,2309.2,58.479,70.744,0.24622,-5.9032,53.06476861,-0.48736765,0.58866676,-0.014489,-0.30463,48.502,46.657,48.232,31.599,28.745,53.99,72.28999999999999,35.17,32.556000000000004,45.914,,,,,,,
8352300205311,283.245349271764,2387.3,69.45,76.359,0.47973,5.0897,50.23446877,-0.57773739,0.58584546,-0.0018381,-0.19528,57.577,55.173,57.215,33.936,27.423,54.17,72.11,35.15,35.301,54.147,,,,,,,
8352300208517,283.160683069264,2382.1,70.633,78.089,0.27399,7.4369,26.99550457,-0.85743255,0.57473065,0.0041845,-0.14808,58.109,55.594,57.726,28.2,20.872,51.580000000000005,65.3,33.31,30.447000000000003,54.479,,,,,,,
8352300205418,283.114099323821,2284.3,59.283,71.584,0.3375,-4.6691,52.97590213,-0.56685135,0.58725212,-0.0044252,-0.25681,65.144,62.679,64.756,38.079,30.552,53.97,72.33000000000001,35.15,39.87,61.556,,,,,,,
8350032005993,282.896809979107,1948.3,70.321,64.044,0.25568,-3.9788,-0.42066222,-0.52286958,0.56914027,-0.0061684,0.0095866,59.563,57.342000000000006,59.223000000000006,35.549,29.94,54.71,68.41000000000001,34.42,37.232,56.389,,,,,,,
4352300205269,282.745502591217,2295.2,68.983,66.392,-0.092879,-2.474,16.54657168,-1.55757813,0.5805776,-0.035638,-0.16364,68.112,65.619,67.696,40.268,33.458,54.27,71.41,35.46,42.256,64.415,,,,,,,
4352300202327,282.552010577939,2127.6,66.082,65.514,0.11044,-5.065,37.77990635,-1.0837633,0.56473521,-0.0076831,-0.12887,72.367,69.941,71.949,43.474,35.59,54.49,71.59,35.480000000000004,45.637,68.715,,,,,,,
8352300205532,281.698252949326,2530.5,69.814,78.981,0.20007,8.2466,52.67442026,-0.5829872,0.58735305,-0.0069368,-0.22592,55.751,53.31,55.38,32.671,29.034,53.98,71.92,35.15,33.953,52.271,,,,,,,
8352300205525,281.116700155789,2436.6,72.344,76.649,0.23042,8.0502,27.77535455,-0.55144651,0.5768183,-0.0013983,-0.16062,68.272,65.598,67.834,34.595,25.289,53.67,68.60000000000001,34.599999999999994,37.266,64.301,,,,,,,
4353169204682,281.038043567895,2413.0,62.104,74.035,0.25169,-0.19447,32.07794277,-0.36208409,0.56527662,-0.011595,-0.29534,44.139,42.39,43.883,29.719,27.422,53.63,69.52000000000001,34.59,30.465,41.706,,,,,,,
4353169202294,280.764744228777,1947.1,62.515,61.38,0.07905,-9.8922,32.50273874,-0.81165585,0.57374285,-0.0071114,-0.088435,55.952,53.647,55.60000000000001,35.234,31.96,53.63,66.74,34.59,36.311,52.67,,,,,,,
4352300207435,280.62925925927,2330.3,73.39,69.241,0.36702,2.7242,23.2516128,-1.63294289,0.60355124,-0.03504,-0.13241,93.91,93.846,93.899,93.464,93.393,54.36,70.39,36.03,93.483,93.819,,,,,,,
4352300201109,280.050083705946,2227.4,70.836,75.674,0.42012,6.5313,32.20107703,-0.35904978,0.56990934,0.019726,-0.09323,72.398,69.527,71.88600000000001,34.392,22.326,53.63,67.67,34.57,37.584,67.999,,,,,,,
8352300205512,279.747836565824,2013.7,58.684,64.611,0.1683,-9.322,55.72827512,-0.70349091,0.58843433,0.0015275,-0.17735,69.013,66.553,68.607,41.114,34.704,54.010000000000005,72.87,35.17,43.065,65.372,,,,,,,
4352210000491,279.577131929549,2328.3,78.955,76.767,0.5741,12.286,27.91927616,-1.02213228,0.56887028,0.0059048,0.015051,66.861,64.298,66.43299999999999,40.37,35.119,53.0,67.36999999999999,34.21,42.02,63.076,,,,,,,
8352300205535,279.353849180423,2176.7,57.418,68.879,0.29752,-6.6328,53.85103725,-0.5213772,0.58873355,0.0003312,-0.24488,63.656,61.211000000000006,63.263000000000005,37.772,32.213,53.97,72.43,35.14,39.479,60.09,,,,,,,
